"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2020","6.76","6.86","6.87","6.75","62.43M","-3.43"
"Jul 06, 2020","7.00","6.97","7.08","6.89","75.43M","2.64"
"Jul 02, 2020","6.82","6.86","7.04","6.81","74.15M","1.19"
"Jul 01, 2020","6.74","6.93","7.01","6.71","120.63M","-1.32"
"Jun 30, 2020","6.83","6.68","6.87","6.67","69.52M","0.44"
"Jun 29, 2020","6.80","6.60","6.80","6.50","75.28M","4.94"
"Jun 26, 2020","6.48","6.62","6.65","6.45","89.41M","-2.99"
"Jun 25, 2020","6.68","6.51","6.69","6.43","73.95M","2.30"
"Jun 24, 2020","6.53","6.85","6.87","6.52","144.67M","-6.71"
"Jun 23, 2020","7.00","7.09","7.12","6.97","80.58M","-0.57"
"Jun 22, 2020","7.04","7.09","7.10","6.96","78.29M","-1.54"
"Jun 19, 2020","7.15","7.42","7.44","7.09","88.68M","-1.79"
"Jun 18, 2020","7.28","7.09","7.32","7.03","78.40M","0.55"
"Jun 17, 2020","7.24","7.53","7.53","7.20","75.21M","-3.08"
"Jun 16, 2020","7.47","7.73","7.74","7.29","98.16M","3.18"
"Jun 15, 2020","7.24","6.92","7.35","6.86","102.16M","-0.14"
"Jun 12, 2020","7.25","7.34","7.43","7.08","100.99M","4.32"
"Jun 11, 2020","6.95","7.05","7.35","6.86","124.50M","-8.67"
"Jun 10, 2020","7.61","7.97","7.98","7.52","116.96M","-5.11"
"Jun 09, 2020","8.02","8.06","8.21","7.91","117.65M","-5.20"
"Jun 08, 2020","8.46","8.19","8.57","8.12","158.46M","7.36"
"","","","","","",""
"","Highest:8.57","Lowest:6.43","Difference:2.14","Average:7.11","Change %:-14.21"
